Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,payoff,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4,strategy,thres_schema,thres_item_final,rep
1,1,1,0,1,10.796999999999992,16,50,82,58,83,81,25.31499999999998,8.600999999999994,5.672999999999996,0.244,20,16,15,1,116,39,25,1,3,0.5,22,3.25,5,Lc,0.21823275862068964,0.22053846153846152,0.22691999999999998,0.244,bonus_oriented,40,40,1
1,1,2,0,4,5.550999999999996,14,25,2,95,102,86,57.461999999999954,0.061,0.061,0.7929999999999997,20,1,1,3,252,1,1,4,2,0,14,3.5,5,Lc,0.2280238095238095,0.061,0.061,0.19824999999999998,bonus_oriented,40,40,1
1,2,3,0,7,7.075999999999994,16,32,18,85,23,32,47.21399999999996,0.427,0.366,0.305,20,2,3,2,210,2,3,2,6,0,20,5,5,Lc,0.2248285714285714,0.2135,0.122,0.1525,bonus_oriented,40,40,1
1,2,4,0,6,6.953999999999994,17,32,6,4,82,7,49.22699999999996,10.430999999999992,0.305,0.061,20,18,2,1,206,48,2,1,6,0.5,39,5.25,5,Lc,0.2389660194174757,0.2173125,0.1525,0.061,bonus_oriented,40,40,1
1,3,5,0,5,7.624999999999994,17,34,44,46,88,105,15.188999999999988,3.3549999999999973,4.818999999999996,11.95599999999999,20,10,16,17,58,11,24,53,5,0,15,3.75,5,Lc,0.2618793103448276,0.3049999999999999,0.20079166666666665,0.22558490566037734,bonus_oriented,40,40,1
1,3,6,0,1,11.284999999999991,18,58,77,33,27,17,22.508999999999983,15.432999999999987,0.427,2.744999999999998,20,19,2,10,99,56,2,14,3,0,19,4.75,5,Lc,0.22736363636363635,0.27558928571428565,0.2135,0.19607142857142856,bonus_oriented,40,40,1
1,4,7,0,1,10.064999999999992,15,39,84,75,26,25,22.996999999999982,1.1589999999999994,12.26099999999999,6.709999999999995,20,8,18,14,101,9,54,28,3,0,16,4,5,Lc,0.22769306930693067,0.12877777777777777,0.22705555555555554,0.2396428571428571,bonus_oriented,40,40,1
1,4,8,0,4,8.722999999999994,15,35,106,96,93,99,18.848999999999986,12.80999999999999,0.7319999999999998,1.7689999999999988,20,17,3,9,82,60,3,13,2,0,10,2.5,5,Lc,0.22986585365853657,0.2135,0.244,0.13607692307692307,bonus_oriented,40,40,1
1,5,9,1,5,9.698999999999993,17,45,45,38,6,9,18.116999999999987,5.855999999999995,64.35499999999999,0.7929999999999997,20,10,18,4,72,24,300,4,5,0,22,5.5,5,Lc,0.251625,0.24399999999999997,0.21451666666666666,0.19824999999999998,bonus_oriented,40,40,1
1,5,10,1,7,10.247999999999992,17,43,18,32,19,17,20.678999999999984,6.953999999999994,2.439999999999998,13.663999999999989,20,11,9,16,87,24,12,65,6,0.5,41,5.75,5,Lc,0.23768965517241378,0.28974999999999995,0.20333333333333334,0.2102153846153846,bonus_oriented,40,40,1
1,6,11,1,3,10.735999999999992,17,64,89,28,105,1,33.549999999999976,4.086999999999997,42.76099999999997,8.722999999999994,20,10,18,16,154,14,177,40,5,0,16,4,5,Lc,0.21785714285714286,0.29192857142857137,0.24158757062146888,0.21807499999999996,bonus_oriented,40,40,1
1,6,12,1,7,1.646999999999999,6,9,14,15,22,76,18.116999999999987,1.0369999999999995,4.7579999999999965,12.62699999999999,20,3,16,17,67,3,25,51,6,0.5,39,5.25,5,Lc,0.27040298507462684,0.34566666666666657,0.19032,0.24758823529411764,bonus_oriented,40,40,1
1,7,13,1,9,1.463999999999999,4,6,69,70,102,86,26.22999999999998,1.2199999999999993,4.086999999999997,5.184999999999996,20,5,13,15,106,5,22,25,4,0,13,3.25,5,Lc,0.24745283018867922,0.244,0.18577272727272726,0.2074,bonus_oriented,40,40,1
