Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,payoff,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4,agent,model,risk,run
1,1,1,0,1,7.014999999999994,15,36,81,84,78,111,16.40899999999999,0.5489999999999999,4.635999999999997,7.258999999999994,20,3,15,16,70,3,22,28,3,0.5,20,2.75,6,Lc,0.2344142857142857,0.183,0.21072727272727274,0.25925,baseline,original,Lc,1
1,1,2,0,4,13.23699999999999,20,66,105,92,108,95,18.055999999999987,2.8669999999999978,1.2199999999999993,3.2329999999999974,20,14,5,9,90,18,6,14,2,0,10,2.5,6,Lc,0.2006222222222222,0.15927777777777777,0.20333333333333334,0.23092857142857143,baseline,original,Lc,1
1,2,3,0,6,14.700999999999988,16,59,3,7,96,94,14.822999999999988,0.183,4.940999999999996,3.598999999999997,18,1,11,7,61,1,17,11,6,0,18,4.5,6,Lc,0.24299999999999997,0.183,0.29064705882352937,0.32718181818181813,baseline,original,Lc,1
1,2,4,0,9,10.735999999999992,16,40,64,65,62,35,17.262999999999987,0.122,0.427,2.1349999999999985,20,1,2,8,67,1,2,9,4,0.5,29,4.25,6,Lc,0.25765671641791044,0.122,0.2135,0.23722222222222222,baseline,original,Lc,1
1,3,5,0,9,8.051999999999994,13,35,72,67,96,85,9.881999999999993,7.380999999999994,0.427,0.9149999999999996,19,15,1,5,42,35,1,6,4,0,14,3.5,6,Lc,0.23528571428571426,0.21088571428571426,0.427,0.1525,baseline,original,Lc,1
1,3,6,0,1,10.735999999999992,16,50,77,79,82,11,19.763999999999985,0.7319999999999998,0.366,5.245999999999996,20,3,2,14,84,3,2,22,3,0.5,24,3.75,6,Lc,0.23528571428571426,0.244,0.183,0.23845454545454545,baseline,original,Lc,1
1,4,7,0,1,7.746999999999994,16,36,81,82,101,13,11.162999999999991,0.244,6.038999999999995,6.709999999999995,20,3,13,13,50,3,18,24,3,0,14,3.5,6,Lc,0.22326,0.08133333333333333,0.3354999999999999,0.2795833333333333,baseline,original,Lc,1
1,4,8,0,6,9.027999999999993,19,51,10,7,3,8,11.467999999999991,11.284999999999991,9.027999999999993,1.7079999999999989,20,18,18,5,62,43,40,5,6,1,72,6,6,Lc,0.18496774193548388,0.26244186046511625,0.22569999999999998,0.34159999999999996,baseline,original,Lc,1
1,5,9,0,3,8.295999999999994,13,44,95,32,24,26,15.00599999999999,3.2329999999999974,2.1959999999999984,0.9149999999999996,20,14,6,6,72,23,7,6,5,0,19,4.75,6,Lc,0.20841666666666664,0.14056521739130434,0.31371428571428567,0.1525,baseline,original,Lc,1
1,5,10,0,5,5.7339999999999955,17,41,42,48,41,73,6.7099999999999955,6.648999999999995,0.366,9.515999999999993,20,15,1,14,48,24,1,36,5,0.5,33,4.5,6,Lc,0.13979166666666665,0.27704166666666663,0.366,0.2643333333333333,baseline,original,Lc,1
1,6,11,1,5,10.247999999999992,19,39,41,39,38,44,13.724999999999989,2.439999999999998,4.330999999999997,2.3179999999999983,20,8,13,8,54,11,20,10,5,1,60,5,6,Lc,0.25416666666666665,0.2218181818181818,0.21655,0.2318,baseline,original,Lc,1
