model,strategy,combo_id,thres_schema,thres_item_final,risk,run,AC,performance,RT
original,bonus_oriented,6,50,45,Lc,1,0.4615384615384615,30.269230769230766,76.77319230769145
original,bonus_oriented,6,50,45,Lc,2,0.3571428571428571,26.535714285714285,56.78446428571435
original,bonus_oriented,6,50,45,Lc,3,0.44642857142857145,31.75,56.28775000000028
original,bonus_oriented,6,50,45,Lc,4,0.375,26.714285714285715,62.83000000000053
original,bonus_oriented,6,50,45,Lc,5,0.5192307692307693,36.34615384615385,63.590153846154195
original,bonus_oriented,6,50,45,Lc,6,0.375,27.428571428571427,57.625392857143424
original,bonus_oriented,6,50,45,Lc,7,0.5535714285714286,39.25,57.05460714285745
original,bonus_oriented,6,50,45,Lc,8,0.3392857142857143,27.928571428571427,51.527571428571456
original,bonus_oriented,6,50,45,Lc,9,0.2692307692307693,22.923076923076923,63.41419230769303
original,bonus_oriented,6,50,45,Lc,10,0.4,28.2,49.70076666666673
original,bonus_oriented,6,50,45,Hc,1,0.4615384615384615,23.346153846153847,76.77319230769145
original,bonus_oriented,6,50,45,Hc,2,0.3571428571428571,21.928571428571427,56.78446428571435
original,bonus_oriented,6,50,45,Hc,3,0.44642857142857145,27.571428571428573,56.28775000000028
original,bonus_oriented,6,50,45,Hc,4,0.375,22.107142857142858,62.83000000000053
original,bonus_oriented,6,50,45,Hc,5,0.5192307692307693,28.961538461538463,63.590153846154195
original,bonus_oriented,6,50,45,Hc,6,0.375,22.928571428571427,57.625392857143424
original,bonus_oriented,6,50,45,Hc,7,0.5535714285714286,33.142857142857146,57.05460714285745
original,bonus_oriented,6,50,45,Hc,8,0.3392857142857143,22.571428571428573,51.527571428571456
original,bonus_oriented,6,50,45,Hc,9,0.2692307692307693,17.615384615384617,63.41419230769303
original,bonus_oriented,6,50,45,Hc,10,0.4,22.8,49.70076666666673
original,payoff_oriented,12,25,10,Lc,1,0.3888888888888889,33.02777777777778,22.600499999999982
original,payoff_oriented,12,25,10,Lc,2,0.3611111111111111,29.38888888888889,21.014499999999984
original,payoff_oriented,12,25,10,Lc,3,0.36111111111111105,30.86111111111111,21.66855555555554
original,payoff_oriented,12,25,10,Lc,4,0.3611111111111111,27.333333333333332,21.08227777777776
original,payoff_oriented,12,25,10,Lc,5,0.5555555555555556,36.72222222222222,20.316388888888874
original,payoff_oriented,12,25,10,Lc,6,0.25,24.416666666666664,21.797333333333317
original,payoff_oriented,12,25,10,Lc,7,0.2638888888888889,23.11111111111111,20.255388888888874
original,payoff_oriented,12,25,10,Lc,8,0.3194444444444444,26.194444444444443,23.52566666666665
original,payoff_oriented,12,25,10,Lc,9,0.4333333333333333,33.46666666666667,45.22336666666721
original,payoff_oriented,12,25,10,Lc,10,0.2638888888888889,26,25.8148611111111
original,payoff_oriented,12,25,10,Hc,1,0.3888888888888889,27.694444444444443,22.600499999999982
original,payoff_oriented,12,25,10,Hc,2,0.3611111111111111,21.22222222222222,21.014499999999984
original,payoff_oriented,12,25,10,Hc,3,0.36111111111111105,27.11111111111111,21.66855555555554
original,payoff_oriented,12,25,10,Hc,4,0.3611111111111111,18.416666666666668,21.08227777777776
original,payoff_oriented,12,25,10,Hc,5,0.5555555555555556,29.97222222222222,20.316388888888874
original,payoff_oriented,12,25,10,Hc,6,0.25,19.75,21.797333333333317
original,payoff_oriented,12,25,10,Hc,7,0.2638888888888889,18.27777777777778,20.255388888888874
original,payoff_oriented,12,25,10,Hc,8,0.3194444444444444,20.944444444444443,23.52566666666665
original,payoff_oriented,12,25,10,Hc,9,0.4333333333333333,26.366666666666664,45.22336666666721
original,payoff_oriented,12,25,10,Hc,10,0.2638888888888889,20.083333333333336,25.8148611111111
adapted,bonus_oriented,6,50,45,Lc,1,0.25,25.75,55.96532142857165
adapted,bonus_oriented,6,50,45,Lc,2,0.36666666666666664,25.766666666666666,52.92563333333365
adapted,bonus_oriented,6,50,45,Lc,3,0.48333333333333334,32.6,49.3632333333333
adapted,bonus_oriented,6,50,45,Lc,4,0.36666666666666664,26.633333333333333,46.980166666666655
adapted,bonus_oriented,6,50,45,Lc,5,0.38333333333333336,29.333333333333332,45.88826666666663
adapted,bonus_oriented,6,50,45,Lc,6,0.59375,41.5,42.64471875000002
adapted,bonus_oriented,6,50,45,Lc,7,0.28571428571428575,24.107142857142858,66.64032142857252
adapted,bonus_oriented,6,50,45,Lc,8,0.3928571428571429,31.178571428571427,52.14410714285722
adapted,bonus_oriented,6,50,45,Lc,9,0.375,30.357142857142858,58.06110714285776
adapted,bonus_oriented,6,50,45,Lc,10,0.44642857142857145,30.357142857142858,52.09617857142858
adapted,bonus_oriented,6,50,45,Hc,1,0.4615384615384615,23.346153846153847,76.77319230769145
adapted,bonus_oriented,6,50,45,Hc,2,0.3571428571428571,21.928571428571427,56.78446428571435
adapted,bonus_oriented,6,50,45,Hc,3,0.44642857142857145,27.571428571428573,56.28775000000028
adapted,bonus_oriented,6,50,45,Hc,4,0.375,22.107142857142858,62.83000000000053
adapted,bonus_oriented,6,50,45,Hc,5,0.5192307692307693,28.961538461538463,63.590153846154195
adapted,bonus_oriented,6,50,45,Hc,6,0.375,22.928571428571427,57.625392857143424
adapted,bonus_oriented,6,50,45,Hc,7,0.5535714285714286,33.142857142857146,57.05460714285745
adapted,bonus_oriented,6,50,45,Hc,8,0.3392857142857143,22.571428571428573,51.527571428571456
adapted,bonus_oriented,6,50,45,Hc,9,0.2692307692307693,17.615384615384617,63.41419230769303
adapted,bonus_oriented,6,50,45,Hc,10,0.4,22.8,49.70076666666673
adapted,payoff_oriented,12,25,10,Lc,1,0.2638888888888889,27.333333333333336,23.283361111111095
adapted,payoff_oriented,12,25,10,Lc,2,0.5394736842105263,36.05263157894737,19.120289473684196
adapted,payoff_oriented,12,25,10,Lc,3,0.29166666666666663,27,23.20880555555554
adapted,payoff_oriented,12,25,10,Lc,4,0.5,34.22222222222222,24.110249999999983
adapted,payoff_oriented,12,25,10,Lc,5,0.3611111111111111,26.75,25.757250000000106
adapted,payoff_oriented,12,25,10,Lc,6,0.3611111111111111,29.5,23.83913888888887
adapted,payoff_oriented,12,25,10,Lc,7,0.375,31.22222222222222,24.159388888889097
adapted,payoff_oriented,12,25,10,Lc,8,0.34722222222222215,27.5,21.937972222222207
adapted,payoff_oriented,12,25,10,Lc,9,0.5416666666666667,34.638888888888886,20.40280555555554
adapted,payoff_oriented,12,25,10,Lc,10,0.338235294117647,30.676470588235297,32.41073529411796
adapted,payoff_oriented,12,25,10,Hc,1,0.3888888888888889,27.694444444444443,22.600499999999982
adapted,payoff_oriented,12,25,10,Hc,2,0.3611111111111111,21.22222222222222,21.014499999999984
adapted,payoff_oriented,12,25,10,Hc,3,0.36111111111111105,27.11111111111111,21.66855555555554
adapted,payoff_oriented,12,25,10,Hc,4,0.3611111111111111,18.416666666666668,21.08227777777776
adapted,payoff_oriented,12,25,10,Hc,5,0.5555555555555556,29.97222222222222,20.316388888888874
adapted,payoff_oriented,12,25,10,Hc,6,0.25,19.75,21.797333333333317
adapted,payoff_oriented,12,25,10,Hc,7,0.2638888888888889,18.27777777777778,20.255388888888874
adapted,payoff_oriented,12,25,10,Hc,8,0.3194444444444444,20.944444444444443,23.52566666666665
adapted,payoff_oriented,12,25,10,Hc,9,0.4333333333333333,26.366666666666664,45.22336666666721
adapted,payoff_oriented,12,25,10,Hc,10,0.2638888888888889,20.083333333333336,25.8148611111111
