Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,payoff,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4,strategy,combo_id,thres_schema,thres_item_final,model,risk,run,attempt
1,1,1,0,1,16.896999999999988,19,78,77,84,52,78,39.83299999999997,1.7689999999999988,0.5489999999999999,7.136999999999994,20,7,2,14,174,8,2,27,3,0.5,22,3.25,5,Lc,0.2289252873563218,0.22112499999999993,0.27449999999999997,0.2643333333333333,bonus_oriented,1,50,45,original,Lc,1,1
1,1,2,0,9,14.883999999999988,18,66,64,63,2,4,27.08399999999998,25.13199999999998,0.488,3.842999999999997,20,19,2,12,106,104,2,18,4,0,20,5,5,Lc,0.2555094339622641,0.24165384615384614,0.244,0.2135,bonus_oriented,1,50,45,original,Lc,1,1
1,2,3,0,1,9.271999999999993,17,39,98,102,2,58,72.04099999999994,2.9279999999999977,0.6709999999999998,0.427,20,9,4,2,311,10,4,2,3,0,14,3.5,5,Lc,0.23164308681672022,0.29279999999999995,0.16775,0.2135,bonus_oriented,1,50,45,original,Lc,1,1
1,2,4,0,5,10.369999999999992,20,52,43,48,37,42,30.49999999999998,0.6709999999999998,6.8929999999999945,0.8539999999999996,20,4,13,3,138,4,21,4,5,1,60,5,5,Lc,0.22101449275362317,0.16775,0.32823809523809516,0.2135,bonus_oriented,1,50,45,original,Lc,1,1
1,3,5,0,7,12.62699999999999,14,57,58,17,16,55,49.53199999999996,3.1109999999999975,11.83399999999999,0.427,20,9,16,2,210,12,48,2,6,0,20,5,5,Lc,0.23586666666666664,0.25925,0.24654166666666663,0.2135,bonus_oriented,1,50,45,original,Lc,1,1
1,3,6,0,10,8.112999999999994,16,38,34,62,1,12,81.00800000000098,0.122,2.1349999999999985,7.990999999999993,20,2,8,15,339,2,8,31,3,0,21,5.25,5,Lc,0.23896165191740412,0.061,0.266875,0.2577741935483871,bonus_oriented,1,50,45,original,Lc,1,1
1,4,7,0,6,12.32199999999999,12,55,9,60,6,53,25.61999999999998,8.112999999999994,5.306999999999996,9.271999999999993,20,16,16,15,114,37,26,31,6,0,20,5,5,Lc,0.22473684210526312,0.21927027027027024,0.2041153846153846,0.29909677419354835,bonus_oriented,1,50,45,original,Lc,1,1
1,4,8,0,1,11.589999999999991,17,61,74,82,73,81,28.05999999999998,6.343999999999995,2.3789999999999982,0.6099999999999999,20,15,6,2,134,25,7,2,3,1,36,3,5,Lc,0.20940298507462685,0.25375999999999993,0.33985714285714286,0.30499999999999994,bonus_oriented,1,50,45,original,Lc,1,1
1,5,9,1,5,9.576999999999993,13,48,39,44,41,17,19.092999999999986,10.247999999999992,8.539999999999994,6.587999999999995,20,19,14,15,84,46,26,32,5,0.5,36,5.25,5,Lc,0.22729761904761903,0.22278260869565217,0.32846153846153836,0.20587499999999997,bonus_oriented,1,50,45,original,Lc,1,1
1,5,10,1,3,16.652999999999988,19,78,33,87,1,92,29.95099999999998,18.726999999999986,3.1109999999999975,1.2199999999999993,20,19,6,7,133,72,8,8,5,0,17,4.25,5,Lc,0.2251954887218045,0.2600972222222222,0.38887499999999986,0.1525,bonus_oriented,1,50,45,original,Lc,1,1
1,6,11,1,9,10.247999999999992,15,50,63,9,70,65,17.323999999999987,15.371999999999987,0.5489999999999999,9.332999999999993,20,17,4,15,73,60,4,50,4,0.5,30,4.5,5,Lc,0.23731506849315065,0.2562,0.13724999999999998,0.18666,bonus_oriented,1,50,45,original,Lc,1,1
1,6,12,1,7,18.665999999999986,17,87,17,20,106,15,45.139999999999965,18.055999999999987,9.515999999999993,21.105999999999984,20,17,16,17,203,81,39,74,6,0.5,38,5,5,Lc,0.2223645320197044,0.22291358024691355,0.24399999999999997,0.2852162162162162,bonus_oriented,1,50,45,original,Lc,1,1
1,7,13,1,5,9.454999999999993,18,47,39,37,42,38,12.50499999999999,18.482999999999986,2.8669999999999978,0.7319999999999998,20,18,8,4,56,78,12,4,5,1,60,5,5,Lc,0.2233035714285714,0.23696153846153842,0.23891666666666667,0.183,bonus_oriented,1,50,45,original,Lc,1,1
1,7,14,1,3,9.454999999999993,17,42,26,63,11,30,18.482999999999986,24.39999999999998,0.9759999999999995,0.244,20,19,4,1,78,106,4,1,5,0,20,5,5,Lc,0.23696153846153845,0.230188679245283,0.244,0.244,bonus_oriented,1,50,45,original,Lc,1,1
1,8,15,1,1,7.258999999999994,14,38,81,79,80,9,13.968999999999989,12.44399999999999,4.086999999999997,2.2569999999999983,20,17,13,11,58,51,23,13,3,0.5,24,3.75,5,Lc,0.24084482758620684,0.24399999999999997,0.17769565217391303,0.1736153846153846,bonus_oriented,1,50,45,original,Lc,1,1
1,8,16,1,7,3.9649999999999967,10,20,20,21,89,96,41.35799999999997,0.6709999999999998,0.7319999999999998,3.3549999999999973,20,4,6,12,189,4,6,15,6,0,18,4.5,5,Lc,0.2188253968253968,0.16775,0.122,0.22366666666666665,bonus_oriented,1,50,45,original,Lc,1,1
1,9,17,1,1,6.709999999999995,13,37,75,81,77,83,17.628999999999987,1.524999999999999,3.598999999999997,10.125999999999992,20,7,12,16,88,8,18,42,3,1,36,3,5,Lc,0.20032954545454545,0.190625,0.19994444444444445,0.24109523809523806,bonus_oriented,1,50,45,original,Lc,1,1
1,9,18,1,5,7.441999999999994,13,32,45,40,60,38,12.38299999999999,4.147999999999997,22.325999999999983,2.622999999999998,20,11,17,7,49,18,96,7,5,0.5,34,4.75,5,Lc,0.25271428571428567,0.23044444444444442,0.23256249999999998,0.3747142857142856,bonus_oriented,1,50,45,original,Lc,1,1
1,10,19,1,8,3.9649999999999967,11,19,115,118,120,117,35.257999999999974,1.4029999999999991,0.9149999999999996,0.7319999999999998,20,3,4,5,146,3,4,5,2,1,24,2,5,Lc,0.2414931506849315,0.4676666666666664,0.22875,0.1464,bonus_oriented,1,50,45,original,Lc,1,1
1,10,20,1,5,6.343999999999995,13,31,44,47,37,10,11.589999999999991,5.7949999999999955,3.720999999999997,11.89499999999999,20,14,9,17,60,28,13,64,5,0.5,36,5.25,5,Lc,0.19316666666666665,0.2069642857142857,0.2862307692307692,0.18585937499999997,bonus_oriented,1,50,45,original,Lc,1,1
1,11,21,1,4,2.744999999999998,8,14,4,94,87,7,83.26500000000186,0.122,0.061,0.244,20,2,1,2,373,2,1,2,2,0,18,4.5,5,Lc,0.22323056300268093,0.061,0.061,0.122,bonus_oriented,1,50,45,original,Lc,1,1
1,11,22,1,7,15.249999999999988,17,70,21,17,18,115,20.617999999999984,20.312999999999985,1.0369999999999995,22.874999999999982,20,19,5,17,92,90,5,105,6,0.5,38,5,5,Lc,0.2241086956521739,0.22569999999999998,0.20739999999999995,0.21785714285714286,bonus_oriented,1,50,45,original,Lc,1,1
1,12,23,1,8,8.783999999999994,15,47,117,112,52,2,19.946999999999985,1.2809999999999993,17.933999999999987,8.295999999999994,20,3,18,15,97,4,74,42,2,0,14,3.5,5,Lc,0.20563917525773193,0.3202499999999999,0.2423513513513513,0.19752380952380952,bonus_oriented,1,50,45,original,Lc,1,1
1,12,24,1,5,9.210999999999993,15,48,39,93,45,89,11.345999999999991,12.13899999999999,6.343999999999995,18.604999999999986,20,16,16,17,58,58,28,77,5,0,16,4,5,Lc,0.1956206896551724,0.20929310344827584,0.22657142857142853,0.2416233766233766,bonus_oriented,1,50,45,original,Lc,1,1
1,13,25,1,7,10.552999999999992,14,49,19,22,17,14,15.18899999999999,19.641999999999985,9.271999999999993,12.50499999999999,20,19,14,17,68,88,39,49,6,1,72,6,5,Lc,0.2233676470588235,0.22320454545454543,0.23774358974358972,0.255204081632653,bonus_oriented,1,50,45,original,Lc,1,1
