model,strategy,combo_id,thres_schema,thres_item_final,perf_mean_Lc,perf_mean_Hc,AC_mean_Lc,AC_mean_Hc,RT_mean_Lc,RT_mean_Hc,risk_effect_perf,risk_effect_AC,risk_effect_RT
original,bonus_oriented,1,40,40,31.67142857142857,26.547857142857143,0.4135714285714286,0.4135714285714286,51.68579380952395,51.68579380952395,-5.123571428571427,0,0
original,bonus_oriented,2,45,40,34.003571428571426,28.575,0.49642857142857144,0.49642857142857144,47.98188833333346,47.98188833333346,-5.428571428571427,0,0
original,bonus_oriented,3,50,40,32.21142857142857,26.305,0.45095238095238094,0.45095238095238094,49.142021190476264,49.142021190476264,-5.90642857142857,0,0
original,bonus_oriented,4,40,45,28.927087912087913,23.666813186813187,0.4063919413919414,0.4063919413919414,58.54263510989111,58.54263510989111,-5.260274725274726,0,0
original,bonus_oriented,5,45,45,30.147802197802196,24.545054945054943,0.3942307692307692,0.3942307692307692,56.30196098901121,56.30196098901121,-5.602747252747253,0,0
original,bonus_oriented,6,50,45,29.73456043956044,24.297307692307694,0.40964285714285714,0.40964285714285714,59.55880908424929,59.55880908424929,-5.437252747252746,0,0
original,bonus_oriented,7,40,50,30.87142857142857,25.771428571428572,0.43392857142857144,0.43392857142857144,56.49994285714317,56.49994285714317,-5.099999999999998,0,0
original,bonus_oriented,8,45,50,28.448351648351647,22.96923076923077,0.3677197802197802,0.3677197802197802,60.897825000000225,60.897825000000225,-5.479120879120877,0,0
original,bonus_oriented,9,50,50,30.744505494505493,26.11510989010989,0.4074175824175824,0.4074175824175824,61.40335412087961,61.40335412087961,-4.629395604395604,0,0
original,payoff_oriented,10,15,10,24.466520467836254,20.028527046783626,0.25074926900584793,0.25074926900584793,18.279739126461926,18.279739126461926,-4.437993421052628,0,0
original,payoff_oriented,11,20,10,26.846345029239767,21.448976608187134,0.3000730994152047,0.3000730994152047,18.566384502923977,18.566384502923977,-5.397368421052633,0,0
original,payoff_oriented,12,25,10,29.052222222222223,22.983888888888888,0.35583333333333333,0.35583333333333333,24.32988388888893,24.32988388888893,-6.068333333333335,0,0
original,payoff_oriented,13,15,12.5,23.029824561403508,18.75175438596491,0.22076023391812866,0.22076023391812866,19.513133040935738,19.513133040935738,-4.278070175438597,0,0
original,payoff_oriented,14,20,12.5,25.53611111111111,20.37953216374269,0.29817251461988303,0.29817251461988303,20.78231652046784,20.78231652046784,-5.15657894736842,0,0
original,payoff_oriented,15,25,12.5,28.362908496732025,22.76437908496732,0.3512254901960784,0.3512254901960784,24.224864215686303,24.224864215686303,-5.598529411764705,0,0
original,payoff_oriented,16,15,15,25.477739078087374,20.73418257653939,0.2843846749226006,0.2843846749226006,37.71028045988202,37.71028045988202,-4.743556501547985,0,0
original,payoff_oriented,17,20,15,27.758966288269697,21.97500343997248,0.3422574819401445,0.3422574819401445,26.080955407637216,26.080955407637216,-5.783962848297218,0,0
original,payoff_oriented,18,25,15,29.177614379084968,23.43839869281046,0.3712418300653595,0.3712418300653595,26.17365473856213,26.17365473856213,-5.739215686274509,0,0
adapted,bonus_oriented,1,40,40,28.907708333333332,26.547857142857143,0.3499702380952381,0.4135714285714286,48.2086921428573,51.68579380952395,-2.3598511904761885,0.0636011904761905,3.4771016666666483
adapted,bonus_oriented,2,45,40,30.116875,28.575,0.4007291666666667,0.49642857142857144,45.56472520833344,47.98188833333346,-1.541875000000001,0.09569940476190475,2.417163125000016
adapted,bonus_oriented,3,50,40,32.2897619047619,26.305,0.4322619047619048,0.45095238095238094,50.87020202380986,49.142021190476264,-5.984761904761903,0.018690476190476146,-1.728180833333596
adapted,bonus_oriented,4,40,45,30.17047619047619,23.666813186813187,0.3954761904761905,0.4063919413919414,53.491030714285706,58.54263510989111,-6.503663003663004,0.010915750915750921,5.051604395605402
adapted,bonus_oriented,5,45,45,33.15380952380952,24.545054945054943,0.4575,0.3942307692307692,49.74709761904779,56.30196098901121,-8.608754578754578,-0.0632692307692308,6.554863369963414
adapted,bonus_oriented,6,50,45,29.758333333333333,24.297307692307694,0.39437500000000003,0.40964285714285714,52.2709054464288,59.55880908424929,-5.461025641025639,0.01526785714285711,7.2879036378204916
adapted,bonus_oriented,7,40,50,28.17554945054945,25.771428571428572,0.3434065934065934,0.43392857142857144,56.86012774725318,56.49994285714317,-2.404120879120878,0.09052197802197803,-0.36018489011001265
adapted,bonus_oriented,8,45,50,31.017252747252748,22.96923076923077,0.41160256410256413,0.3677197802197802,59.35580756410295,60.897825000000225,-8.048021978021978,-0.04388278388278394,1.5420174358972716
adapted,bonus_oriented,9,50,50,33.29642857142857,26.11510989010989,0.47857142857142854,0.4074175824175824,55.8559571428573,61.40335412087961,-7.1813186813186825,-0.07115384615384612,5.547396978022313
adapted,payoff_oriented,10,15,10,21.897426900584794,20.028527046783626,0.18440058479532162,0.25074926900584793,15.876011608187191,18.279739126461926,-1.8688998538011674,0.06634868421052631,2.403727518274735
adapted,payoff_oriented,11,20,10,26.25687134502924,21.448976608187134,0.31549707602339183,0.3000730994152047,18.499115058479603,18.566384502923977,-4.807894736842105,-0.015423976608187118,0.06726944444437422
adapted,payoff_oriented,12,25,10,30.489576883384935,22.983888888888888,0.391937564499484,0.35583333333333333,23.82299969900246,24.32988388888893,-7.505687994496046,-0.03610423116615069,0.5068841898864704
adapted,payoff_oriented,13,15,12.5,24.776164430684556,18.75175438596491,0.28782077743378054,0.22076023391812866,21.657317664259047,19.513133040935738,-6.0244100447196445,-0.06706054351565188,-2.1441846233233086
adapted,payoff_oriented,14,20,12.5,27.090350877192982,20.37953216374269,0.3163742690058479,0.29817251461988303,19.994390935672545,20.78231652046784,-6.710818713450291,-0.018201754385964886,0.7879255847952962
adapted,payoff_oriented,15,25,12.5,28.961111111111112,22.76437908496732,0.35130718954248363,0.3512254901960784,23.826550163398714,24.224864215686303,-6.196732026143792,-8.169934640522847e-5,0.39831405228758854
adapted,payoff_oriented,16,15,15,24.217543859649123,20.73418257653939,0.2573830409356725,0.2843846749226006,19.940677046783673,37.71028045988202,-3.4833612831097334,0.02700163398692812,17.76960341309835
adapted,payoff_oriented,17,20,15,27.294582043343652,21.97500343997248,0.33422073873409014,0.3422574819401445,23.714308825679513,26.080955407637216,-5.319578603371173,0.008036743206054353,2.3666465819577027
adapted,payoff_oriented,18,25,15,28.682679738562094,23.43839869281046,0.3669117647058823,0.3712418300653595,24.318158333333365,26.17365473856213,-5.2442810457516345,0.004330065359477164,1.8554964052287666
