Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,payoff,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4,param_w,param_Phi,param_thres_item_final,param_thres_schema,param_theta_shift,rep
1,1,1,0,9,8.478999999999994,20,73,65,70,69,62,10.369999999999992,5.916999999999995,1.8299999999999987,3.903999999999997,20,18,13,16,94,45,20,41,4,1,48,4,6,Lc,0.1103191489361702,0.13148888888888888,0.0915,0.09521951219512195,0.5,20,15,30,1,1
1,1,2,0,1,6.465999999999995,17,53,73,75,99,84,20.373999999999985,0.122,2.622999999999998,4.513999999999997,20,2,16,15,171,2,23,28,3,0.5,20,2.75,6,Lc,0.11914619883040935,0.061,0.11404347826086955,0.1612142857142857,0.5,20,15,30,1,1
1,2,3,0,9,10.552999999999992,19,76,30,16,32,62,31.780999999999977,1.7689999999999988,0.427,1.646999999999999,20,10,3,9,254,14,6,12,4,0,20,5,6,Lc,0.12512204724409448,0.12635714285714286,0.07116666666666667,0.13724999999999998,0.5,20,15,30,1,1
1,2,4,0,5,6.526999999999995,17,51,44,48,47,59,8.051999999999994,5.611999999999996,5.7949999999999955,1.2199999999999993,20,18,17,6,64,40,51,8,5,0.5,34,4.75,6,Lc,0.1258125,0.14029999999999998,0.11362745098039216,0.1525,0.5,20,15,30,1,1
1,3,5,0,6,6.709999999999995,17,61,3,8,10,12,27.510999999999978,0.6099999999999999,0.122,0.061,20,6,2,1,233,6,2,1,6,1,72,6,6,Lc,0.11807296137339054,0.10166666666666667,0.061,0.061,0.5,20,15,30,1,1
1,3,6,0,2,9.088999999999993,18,79,54,36,57,53,11.83399999999999,7.197999999999994,3.720999999999997,2.561999999999998,20,19,17,11,95,53,32,19,4,0.5,29,4.25,6,Lc,0.12456842105263158,0.13581132075471697,0.11628125,0.1348421052631579,0.5,20,15,30,1,1
1,4,7,0,5,8.905999999999993,18,83,48,38,106,98,11.040999999999991,0.427,8.722999999999994,5.489999999999996,20,4,18,16,102,4,72,43,5,0,14,3.5,6,Lc,0.10824509803921567,0.10675,0.12115277777777778,0.12767441860465117,0.5,20,15,30,1,1
1,4,8,0,8,7.014999999999994,19,69,115,119,112,116,9.027999999999993,1.2809999999999993,4.635999999999997,1.8909999999999987,20,7,17,11,83,12,44,14,2,1,24,2,6,Lc,0.10877108433734939,0.10675,0.10536363636363635,0.13507142857142856,0.5,20,15,30,1,1
1,5,9,0,7,6.404999999999995,14,46,16,22,18,56,11.89499999999999,0.6709999999999998,3.537999999999997,6.343999999999995,20,5,15,16,87,6,33,47,6,0.5,40,5.5,6,Lc,0.13672413793103447,0.11183333333333334,0.10721212121212122,0.13497872340425532,0.5,20,15,30,1,1
1,5,10,0,6,7.563999999999994,16,61,10,3,9,4,11.223999999999991,2.0739999999999985,0.7319999999999998,4.6969999999999965,20,10,3,15,96,18,3,40,6,1,72,6,6,Lc,0.11691666666666667,0.11522222222222221,0.244,0.11742499999999999,0.5,20,15,30,1,1
1,6,11,1,5,7.014999999999994,15,58,47,45,46,5,7.136999999999994,3.4159999999999973,6.709999999999995,15.127999999999988,17,17,17,17,60,31,62,125,5,0.5,36,5.25,6,Lc,0.11895,0.11019354838709677,0.1082258064516129,0.12102399999999999,0.5,20,15,30,1,1
1,6,12,1,10,8.539999999999994,19,64,19,29,87,52,38.55199999999997,0.122,0.061,0.122,20,1,1,2,310,1,1,2,3,0,18,4.5,6,Lc,0.12436129032258064,0.122,0.061,0.061,0.5,20,15,30,1,1
1,7,13,1,3,6.099999999999995,19,55,2,90,94,26,61.12199999999995,0.061,0.061,0.244,20,1,1,3,521,1,1,3,5,0,17,4.25,6,Lc,0.11731669865642994,0.061,0.061,0.08133333333333333,0.5,20,15,30,1,1
1,7,14,1,5,10.552999999999992,18,89,39,72,42,40,16.530999999999988,2.683999999999998,0.9759999999999995,0.9759999999999995,20,15,6,8,144,24,6,11,5,0.5,34,4.75,6,Lc,0.1147986111111111,0.11183333333333334,0.16266666666666665,0.08872727272727272,0.5,20,15,30,1,1
1,8,15,1,2,8.234999999999994,20,74,60,55,52,50,13.419999999999991,8.234999999999994,2.0739999999999985,1.646999999999999,20,19,13,10,112,65,22,14,4,1,48,4,6,Lc,0.11982142857142858,0.1266923076923077,0.09427272727272726,0.11764285714285715,0.5,20,15,30,1,1
1,8,16,1,3,6.282999999999995,16,47,88,94,98,92,58.13299999999995,0.061,1.4029999999999991,0.061,20,1,8,1,467,1,8,1,5,0.5,20,2.75,6,Lc,0.12448179871520343,0.061,0.175375,0.061,0.5,20,15,30,1,1
1,9,17,1,10,5.7339999999999955,16,46,15,87,92,90,12.62699999999999,0.183,1.2199999999999993,1.1589999999999994,20,3,9,7,98,3,9,10,3,0.5,24,3.75,6,Lc,0.1288469387755102,0.061,0.13555555555555554,0.1159,0.5,20,15,30,1,1
1,9,18,1,9,7.807999999999994,17,72,71,62,67,42,8.356999999999994,4.086999999999997,6.587999999999995,1.7079999999999989,20,17,17,7,77,38,61,13,4,0.5,29,4.25,6,Lc,0.10853246753246754,0.10755263157894737,0.108,0.13138461538461538,0.5,20,15,30,1,1
1,10,19,1,10,11.77299999999999,20,105,91,96,7,86,17.079999999999988,2.0129999999999986,43.858999999999966,0.122,20,10,18,2,144,13,374,2,3,0.5,24,3.75,6,Lc,0.11861111111111111,0.15484615384615386,0.11727005347593583,0.061,0.5,20,15,30,1,1
1,10,20,1,1,5.306999999999996,18,47,73,79,81,74,8.356999999999994,0.6709999999999998,8.295999999999994,2.0739999999999985,20,3,17,12,75,3,67,17,3,1,36,3,6,Lc,0.11142666666666666,0.22366666666666665,0.12382089552238805,0.122,0.5,20,15,30,1,1
1,11,21,1,2,8.661999999999994,15,69,57,55,50,10,11.528999999999991,0.244,10.308999999999992,15.249999999999988,20,3,18,16,96,3,85,111,4,0.5,30,4.5,6,Lc,0.12009375,0.08133333333333333,0.12128235294117647,0.13738738738738737,0.5,20,15,30,1,1
1,11,22,1,1,9.271999999999993,19,85,79,84,13,74,12.01699999999999,6.953999999999994,6.221999999999995,0.488,20,17,17,5,106,54,53,6,3,0.5,24,3.75,6,Lc,0.11336792452830188,0.12877777777777777,0.11739622641509434,0.08133333333333333,0.5,20,15,30,1,1
1,12,23,1,1,4.269999999999997,16,34,80,82,75,70,7.014999999999995,0.061,7.014999999999994,0.427,20,1,16,2,51,1,57,2,3,0.5,22,3.25,6,Lc,0.13754901960784313,0.061,0.12307017543859648,0.2135,0.5,20,15,30,1,1
1,12,24,1,3,5.550999999999996,17,50,4,58,57,33,50.14199999999996,0.366,0.183,0.244,20,5,2,2,403,5,2,2,5,0,19,4.75,6,Lc,0.12442183622828784,0.0732,0.0915,0.122,0.5,20,15,30,1,1
1,13,25,1,1,8.356999999999994,18,67,78,74,62,82,18.116999999999987,1.9519999999999986,0.6709999999999998,2.0739999999999985,20,11,5,11,151,13,7,19,3,0.5,22,3.25,6,Lc,0.11998013245033112,0.15015384615384614,0.09585714285714285,0.1091578947368421,0.5,20,15,30,1,1
1,13,26,1,5,7.9299999999999935,18,74,42,40,41,38,11.162999999999991,2.622999999999998,1.9519999999999986,8.173999999999994,20,14,9,17,104,20,14,67,5,1,60,5,6,Lc,0.10733653846153846,0.13115,0.13942857142857143,0.122,0.5,20,15,30,1,1
1,14,27,1,1,15.188999999999988,19,125,76,75,83,68,17.384999999999987,8.356999999999994,8.539999999999994,0.427,20,19,18,4,144,65,77,4,3,0.5,22,3.25,6,Lc,0.12072916666666667,0.12856923076923077,0.1109090909090909,0.10675,0.5,20,15,30,1,1
1,14,28,1,10,5.367999999999996,14,43,91,87,92,89,6.038999999999996,8.417999999999994,1.7689999999999988,7.319999999999994,20,19,9,17,49,65,13,61,3,1,36,3,6,Lc,0.12324489795918367,0.1295076923076923,0.13607692307692307,0.12,0.5,20,15,30,1,1
1,15,29,1,1,7.746999999999994,18,65,73,83,80,116,9.271999999999993,4.086999999999997,2.0129999999999986,10.491999999999992,20,15,13,17,77,36,18,86,3,0.5,20,2.75,6,Lc,0.1204155844155844,0.11352777777777777,0.11183333333333333,0.122,0.5,20,15,30,1,1
1,15,30,1,7,4.7579999999999965,16,42,16,20,17,18,13.114999999999991,0.7319999999999998,0.427,6.404999999999995,20,6,3,17,109,6,4,58,6,1,72,6,6,Lc,0.1203211009174312,0.122,0.10675,0.11043103448275862,0.5,20,15,30,1,1
1,16,31,1,2,10.308999999999992,19,92,58,50,60,57,17.994999999999987,0.427,0.8539999999999996,3.476999999999997,20,2,7,13,147,2,9,31,4,1,48,4,6,Lc,0.12241496598639455,0.2135,0.09488888888888888,0.11216129032258064,0.5,20,15,30,1,1
1,16,32,1,7,3.842999999999997,12,28,14,17,16,45,7.441999999999994,2.8669999999999978,15.554999999999987,0.5489999999999999,20,12,18,6,55,22,135,7,6,0.5,41,5.75,6,Lc,0.1353090909090909,0.1303181818181818,0.11522222222222223,0.07842857142857143,0.5,20,15,30,1,1
1,17,33,1,6,13.11499999999999,19,108,11,12,6,5,13.968999999999989,8.966999999999993,0.5489999999999999,1.2199999999999993,20,19,4,6,116,74,4,9,6,1,72,6,6,Lc,0.12042241379310345,0.12117567567567566,0.13724999999999998,0.13555555555555554,0.5,20,15,30,1,1
1,17,34,1,7,3.720999999999997,13,34,15,22,13,14,5.062999999999996,0.9149999999999996,1.0979999999999994,12.99299999999999,20,7,5,17,44,8,6,105,6,1,72,6,6,Lc,0.11506818181818182,0.114375,0.183,0.12374285714285714,0.5,20,15,30,1,1
1,1,1,0,5,8.905999999999993,20,76,38,39,42,88,10.735999999999992,6.8929999999999945,0.6099999999999999,2.8669999999999978,20,18,6,16,92,63,7,23,5,0.5,33,4.5,6,Lc,0.11669565217391305,0.1094126984126984,0.08714285714285715,0.12465217391304347,0.5,20,15,30,1,2
1,1,2,0,9,9.027999999999993,19,67,66,67,61,70,11.89499999999999,0.8539999999999996,2.500999999999998,6.709999999999995,20,7,16,17,87,7,26,58,4,1,48,4,6,Lc,0.13672413793103447,0.122,0.09619230769230769,0.1156896551724138,0.5,20,15,30,1,2
1,2,3,0,6,8.844999999999994,20,72,11,8,10,12,10.430999999999992,10.613999999999992,1.8299999999999987,4.940999999999996,20,18,10,17,86,90,13,39,6,1,72,6,6,Lc,0.12129069767441861,0.11793333333333333,0.14076923076923076,0.1266923076923077,0.5,20,15,30,1,2
1,2,4,0,5,6.526999999999995,19,59,43,44,42,101,11.89499999999999,0.7319999999999998,0.488,5.916999999999995,20,4,5,16,116,5,5,48,5,0.5,32,4.25,6,Lc,0.10254310344827586,0.1464,0.09759999999999999,0.12327083333333333,0.5,20,15,30,1,2
1,3,5,0,3,7.8689999999999936,20,76,29,25,11,10,12.99299999999999,7.197999999999994,24.21699999999998,7.746999999999994,20,19,18,17,112,62,186,64,5,0,22,5.5,6,Lc,0.11600892857142857,0.11609677419354839,0.1301989247311828,0.12104687499999998,0.5,20,15,30,1,2
1,3,6,0,9,8.417999999999994,17,66,65,70,62,20,8.783999999999994,11.162999999999991,1.646999999999999,0.305,20,19,9,3,70,108,12,3,4,0.5,30,4.5,6,Lc,0.12548571428571428,0.10336111111111111,0.13724999999999998,0.10166666666666667,0.5,20,15,30,1,2
