Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,payoff,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4,param_w,param_Phi,param_thres_item_final,param_thres_schema,param_theta_shift,rep
1,1,1,0,8,4.7579999999999965,12,21,115,111,92,36,8.905999999999993,3.842999999999997,4.269999999999997,1.8299999999999987,20,13,12,5,40,14,19,6,2,0,12,3,6,Lc,0.22265,0.27449999999999997,0.22473684210526315,0.305,0.5,20,15,10,3,1
1,1,2,0,2,4.452999999999997,13,17,59,75,53,50,12.13899999999999,5.611999999999996,0.8539999999999996,5.001999999999996,20,17,3,11,50,27,3,18,4,0.5,27,3.75,6,Lc,0.24277999999999997,0.20785185185185184,0.2846666666666667,0.27788888888888885,0.5,20,15,10,3,1
1,2,3,0,2,2.622999999999998,9,11,15,26,29,56,18.543999999999986,1.9519999999999986,0.305,1.4029999999999991,20,7,2,4,78,7,2,6,4,0,20,5,6,Lc,0.23774358974358972,0.2788571428571428,0.1525,0.23383333333333334,0.5,20,15,10,3,1
1,2,4,0,6,2.0739999999999985,11,14,104,1,105,11,10.186999999999992,2.8669999999999978,2.3789999999999982,3.1719999999999975,20,9,7,9,58,10,11,12,6,0,16,4,6,Lc,0.17563793103448275,0.28669999999999995,0.21627272727272723,0.2643333333333333,0.5,20,15,10,3,1
1,3,5,0,9,2.3179999999999983,10,11,61,6,67,111,5.001999999999996,11.284999999999991,8.051999999999994,2.1959999999999984,18,17,16,11,23,46,37,13,4,0,16,4,6,Lc,0.2174782608695652,0.24532608695652172,0.2176216216216216,0.16892307692307693,0.5,20,15,10,3,1
1,3,6,0,5,4.391999999999997,12,19,46,42,52,102,11.89499999999999,1.2199999999999993,1.3419999999999992,2.439999999999998,20,3,4,8,44,3,5,10,5,0,16,4,6,Lc,0.2703409090909091,0.4066666666666665,0.26839999999999997,0.244,0.5,20,15,10,3,1
1,4,7,0,5,1.585999999999999,6,7,107,103,40,42,10.918999999999992,1.1589999999999994,0.122,0.7929999999999997,20,3,2,2,46,3,2,2,5,0,14,3.5,6,Lc,0.2373695652173913,0.3863333333333333,0.061,0.39649999999999996,0.5,20,15,10,3,1
1,4,8,0,8,2.9279999999999977,13,19,7,118,116,119,10.430999999999992,5.184999999999996,8.173999999999994,0.9759999999999995,20,12,16,5,45,21,30,6,2,0.5,18,3,6,Lc,0.23179999999999998,0.24690476190476188,0.27246666666666663,0.16266666666666665,0.5,20,15,10,3,1
1,5,9,0,10,1.646999999999999,6,8,91,93,108,102,7.8079999999999945,2.1959999999999984,6.221999999999995,2.1959999999999984,19,7,15,6,32,9,33,7,3,0,10,2.5,6,Lc,0.244,0.244,0.18854545454545452,0.31371428571428567,0.5,20,15,10,3,1
1,5,10,0,8,1.1589999999999994,5,6,115,111,109,119,9.942999999999993,4.025999999999997,2.1959999999999984,4.513999999999997,20,14,10,12,49,16,11,22,2,1,24,2,6,Lc,0.20291836734693877,0.251625,0.19963636363636364,0.2051818181818182,0.5,20,15,10,3,1
1,6,11,1,1,1.4029999999999991,6,7,77,81,76,101,2.5009999999999986,3.598999999999997,7.685999999999994,3.2939999999999974,10,13,14,10,13,20,28,13,3,0.5,20,2.75,6,Lc,0.19238461538461538,0.17995,0.27449999999999997,0.2533846153846154,0.5,20,15,10,3,1
1,6,12,1,9,0.9759999999999995,4,4,72,65,61,69,4.574999999999997,2.9889999999999977,7.075999999999994,2.622999999999998,12,11,15,8,15,15,37,12,4,1,48,4,6,Lc,0.305,0.19926666666666665,0.19124324324324324,0.21858333333333332,0.5,20,15,10,3,1
1,7,13,1,3,2.561999999999998,11,19,29,27,112,119,11.71199999999999,4.818999999999996,4.391999999999997,4.452999999999997,20,15,14,13,59,26,26,25,5,0,14,3.5,6,Lc,0.19850847457627116,0.18534615384615383,0.16892307692307693,0.17812,0.5,20,15,10,3,1
1,7,14,1,9,2.439999999999998,7,10,72,61,4,8,11.284999999999991,7.197999999999994,0.183,0.7319999999999998,20,17,1,3,49,26,1,3,4,0,20,5,6,Lc,0.23030612244897958,0.2768461538461538,0.183,0.24399999999999997,0.5,20,15,10,3,1
1,8,15,1,5,1.7689999999999988,9,12,37,62,46,40,10.003999999999992,1.7689999999999988,1.463999999999999,5.245999999999996,20,5,9,14,46,6,10,21,5,0.5,34,4.75,6,Lc,0.2174782608695652,0.2948333333333333,0.1464,0.2498095238095238,0.5,20,15,10,3,1
