Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,payoff,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4,param_w,param_Phi,param_thres_item_final,param_thres_schema,param_theta_shift,rep
1,1,1,0,9,11.528999999999991,18,59,36,65,69,34,12.99299999999999,4.086999999999997,2.3179999999999983,0.9759999999999995,19,14,8,5,60,19,8,6,4,0,18,4.5,6,Lc,0.21655,0.21510526315789472,0.28975,0.16266666666666668,0.1,20,15,30,3,1
1,1,2,0,1,9.393999999999993,16,36,75,84,81,53,15.49399999999999,1.7079999999999989,1.2199999999999993,1.585999999999999,20,6,5,6,66,7,6,6,3,0.5,22,3.25,6,Lc,0.23475757575757575,0.24399999999999997,0.20333333333333334,0.2643333333333333,0.1,20,15,30,3,1
1,2,3,0,6,13.29799999999999,17,61,107,7,4,106,19.702999999999985,0.6709999999999998,3.2329999999999974,8.295999999999994,20,3,7,17,85,3,9,40,6,0,16,4,6,Lc,0.23179999999999998,0.22366666666666665,0.35922222222222217,0.2074,0.1,20,15,30,3,1
1,2,4,0,9,8.966999999999993,17,43,61,69,72,32,9.027999999999993,3.2329999999999974,5.428999999999996,3.537999999999997,18,8,14,11,44,9,22,18,4,0.5,29,4.25,6,Lc,0.20518181818181816,0.35922222222222217,0.24677272727272723,0.19655555555555554,0.1,20,15,30,3,1
1,3,5,0,3,10.918999999999992,18,54,35,28,16,78,14.395999999999988,1.8909999999999987,3.1719999999999975,4.086999999999997,20,3,11,10,63,6,15,18,5,0,19,4.75,6,Lc,0.2285079365079365,0.3151666666666666,0.21146666666666666,0.22705555555555554,0.1,20,15,30,3,1
1,3,6,0,5,8.966999999999993,13,32,46,43,41,4,9.759999999999993,1.2809999999999993,4.6969999999999965,5.367999999999996,15,3,13,15,34,4,22,19,5,0.5,36,5.25,6,Lc,0.28705882352941176,0.32025,0.2135,0.2825263157894737,0.1,20,15,30,3,1
1,4,7,0,5,9.393999999999993,16,39,37,80,45,39,13.23699999999999,0.5489999999999999,2.3789999999999982,1.524999999999999,20,1,8,5,53,1,10,6,5,0.5,33,4.5,6,Lc,0.24975471698113202,0.5489999999999999,0.2379,0.25416666666666665,0.1,20,15,30,3,1
1,4,8,0,9,9.454999999999993,17,45,64,69,2,88,10.491999999999992,8.844999999999994,14.273999999999988,3.1719999999999975,19,18,17,12,47,34,64,16,4,0,17,4.25,6,Lc,0.22323404255319146,0.2601470588235294,0.22303125,0.19824999999999998,0.1,20,15,30,3,1
1,5,9,0,2,11.89499999999999,19,60,50,53,54,5,16.34799999999999,2.1959999999999984,2.561999999999998,3.842999999999997,20,10,11,9,79,14,12,11,4,0.5,30,4.5,6,Lc,0.2069367088607595,0.15685714285714286,0.2135,0.3493636363636363,0.1,20,15,30,3,1
1,5,10,0,7,6.8319999999999945,14,29,16,22,18,81,10.491999999999992,0.6099999999999999,1.0369999999999995,2.8669999999999978,20,2,2,8,46,2,2,12,6,0.5,39,5.25,6,Lc,0.2280869565217391,0.305,0.5184999999999997,0.23891666666666664,0.1,20,15,30,3,1
1,6,11,1,7,12.07799999999999,20,75,20,21,17,47,19.092999999999986,2.439999999999998,3.903999999999997,2.744999999999998,20,10,15,9,107,14,23,18,6,0.5,41,5.75,6,Lc,0.17843925233644858,0.17428571428571427,0.16973913043478261,0.1525,0.1,20,15,30,3,1
1,6,12,1,3,9.271999999999993,16,53,25,27,107,32,19.763999999999985,6.221999999999995,1.524999999999999,0.5489999999999999,20,14,6,4,98,24,7,4,5,0.5,32,4.25,6,Lc,0.2016734693877551,0.25925,0.2178571428571428,0.13724999999999998,0.1,20,15,30,3,1
1,7,13,1,9,4.635999999999997,13,21,70,73,68,71,7.380999999999995,4.940999999999996,1.646999999999999,2.3179999999999983,20,14,8,10,35,18,9,12,4,0.5,27,3.75,6,Lc,0.21088571428571426,0.27449999999999997,0.183,0.19316666666666665,0.1,20,15,30,3,1
