Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,payoff,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4,param_w,param_Phi,param_thres_item_final,param_thres_schema,param_theta_shift,rep
1,1,1,0,8,10.613999999999992,17,48,119,114,95,92,13.846999999999989,3.537999999999997,0.061,3.4159999999999973,20,11,1,10,58,15,1,15,2,0,10,2.5,6,Lc,0.2387413793103448,0.23586666666666664,0.061,0.22773333333333332,0.5,1,15,30,3,1
1,1,2,0,5,10.674999999999992,18,50,47,76,57,58,31.658999999999978,0.061,0.061,0.061,20,1,1,1,133,1,1,1,5,0,16,4,6,Lc,0.23803759398496238,0.061,0.061,0.061,0.5,1,15,30,3,1
1,2,3,0,8,9.088999999999993,17,39,119,96,3,117,22.508999999999983,5.306999999999996,1.524999999999999,2.3179999999999983,20,15,7,8,101,24,7,9,2,0,13,3.25,6,Lc,0.22286138613861384,0.221125,0.21785714285714283,0.25755555555555554,0.5,1,15,30,3,1
1,2,4,0,1,12.93199999999999,18,59,79,52,105,60,17.506999999999987,10.552999999999992,1.2809999999999993,0.7319999999999998,20,19,4,3,78,50,6,3,3,0,13,3.25,6,Lc,0.22444871794871793,0.21105999999999997,0.2135,0.244,0.5,1,15,30,3,1
1,3,5,0,6,14.456999999999988,17,52,11,4,9,41,22.630999999999982,1.8909999999999987,7.136999999999994,6.221999999999995,20,6,12,15,89,7,27,29,6,0.5,41,5.75,6,Lc,0.2542808988764045,0.27014285714285713,0.2643333333333333,0.21455172413793103,0.5,1,15,30,3,1
1,3,6,0,9,12.93199999999999,19,59,88,66,61,24,15.859999999999987,3.842999999999997,5.550999999999996,14.090999999999989,20,8,14,15,71,13,23,63,4,0,17,4.25,6,Lc,0.22338028169014082,0.29561538461538456,0.2413478260869565,0.22366666666666665,0.5,1,15,30,3,1
1,4,7,0,5,9.332999999999993,18,47,37,41,39,1,12.80999999999999,1.0369999999999995,5.123999999999996,1.9519999999999986,20,5,13,7,65,6,20,10,5,0.5,36,5.25,6,Lc,0.19707692307692307,0.17283333333333334,0.2562,0.19519999999999998,0.5,1,15,30,3,1
1,4,8,0,9,10.430999999999992,19,48,71,63,66,62,14.82299999999999,3.2939999999999974,4.147999999999997,9.149999999999993,20,9,12,16,69,13,17,46,4,1,48,4,6,Lc,0.21482608695652172,0.2533846153846154,0.24399999999999997,0.19891304347826086,0.5,1,15,30,3,1
1,5,9,0,6,7.807999999999994,19,47,4,61,92,100,37.33199999999997,1.0369999999999995,2.744999999999998,0.061,20,4,9,1,193,5,11,1,6,0,15,3.75,6,Lc,0.19343005181347148,0.2074,0.2495454545454545,0.061,0.5,1,15,30,3,1
1,5,10,0,8,5.001999999999996,12,22,47,80,118,115,30.804999999999975,0.061,1.2809999999999993,0.183,20,1,4,3,135,1,6,3,2,0,12,3,6,Lc,0.22818518518518516,0.061,0.2135,0.061,0.5,1,15,30,3,1
